total_time,mean_ratio
0.5,0.6154138446099241
0.75,0.6619715396898602
1.0,0.702443835027398
1.25,0.7296962889331322
1.5,0.7448019676265119
1.75,0.7519216113075975
2.0,0.7515345275967167
2.25,0.7378881418456811
2.5,0.7040357718097793
2.75,0.6509484638799876
3.0,0.5916730377706756
3.25,0.5450497101464093
3.5,0.5240562622496865
3.75,0.5292780440579619
4.0,0.5518321847813472
4.25,0.5805519957816199
4.5,0.6064235850437587
4.75,0.6228920545253971
5.0,0.6254745695348876
5.25,0.6133887051348307
5.5,0.5917368471091482
5.75,0.5703495631862617
6.0,0.5580553788482351
6.25,0.5565253572509804
6.5,0.5595049731396485
6.75,0.5586147751679531
7.0,0.5506993503135611
7.25,0.5401678754838958
7.5,0.5344453265877869
7.75,0.537438216970653
8.0,0.5478708753480208
